Element,Datum,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1.107,,dXYZ,,,,,-0.95,,
 Surface comparison 1.108,,dXYZ,,,,,-0.48,,
 Surface comparison 1.109,,dXYZ,,,,,-0.17,,
 Surface comparison 1.110,,dXYZ,,,,,0.68,,
 Surface comparison 1.111,,dXYZ,,,,,-2.11,,
 Surface comparison 1.112,,dXYZ,,,,,0.56,,
 Surface comparison 1.113,,dXYZ,,,,,0.39,,
 Surface comparison 1.114,,dXYZ,,,,,-1.43,,
 Surface comparison 1.115,,dXYZ,,,,,-1.58,,
 Surface comparison 1.116,,dXYZ,,,,,-0.54,,
 Surface comparison 1.117,,dXYZ,,,,,-1.13,,
 Surface comparison 1.118,,dXYZ,,,,,-0.72,,
 Surface comparison 1.119,,dXYZ,,,,,-0.43,,
 Surface comparison 1.120,,dXYZ,,,,,-0.24,,
 Surface comparison 1.121,,dXYZ,,,,,-2.03,,
 Surface comparison 1.122,,dXYZ,,,,,0.46,,
 Surface comparison 1.123,,dXYZ,,,,,0.32,,
 Surface comparison 1.124,,dXYZ,,,,,-1.23,,
 Surface comparison 1.125,,dXYZ,,,,,-1.43,,
 Surface comparison 1.126,,dXYZ,,,,,-1.19,,
 Surface comparison 1.127,,dXYZ,,,,,-0.83,,
 Surface comparison 1.128,,dXYZ,,,,,-1.24,,
 Surface comparison 1.129,,dXYZ,,,,,-1.33,,
 Surface comparison 1.130,,dXYZ,,,,,-1.43,,
 Surface comparison 1.131,,dXYZ,,,,,-1.43,,
 Surface comparison 1.132,,dXYZ,,,,,0.34,,
 Surface comparison 1.133,,dXYZ,,,,,0.31,,
 Surface comparison 1.134,,dXYZ,,,,,2.11,,
 Surface comparison 1.135,,dXYZ,,,,,0.57,,
 Surface comparison 1.136,,dXYZ,,,,,0.57,,
 Surface comparison 1.137,,dXYZ,,,,,0.57,,
 Surface comparison 1.138,,dXYZ,,,,,0.57,,
 Surface comparison 1.139,,dXYZ,,,,,0.57,,
 Surface comparison 1.140,,dXYZ,,,,,0.57,,
 Surface comparison 1.141,,dXYZ,,,,,0.57,,
 Surface comparison 1.142,,dXYZ,,,,,0.57,,
