Element,Datum,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1.70,,dXYZ,,,,,-0.72,,
 Surface comparison 1.71,,dXYZ,,,,,-0.18,,
 Surface comparison 1.72,,dXYZ,,,,,0.19,,
 Surface comparison 1.73,,dXYZ,,,,,0.35,,
 Surface comparison 1.74,,dXYZ,,,,,0.43,,
 Surface comparison 1.75,,dXYZ,,,,,-0.53,,
 Surface comparison 1.76,,dXYZ,,,,,-0.31,,
 Surface comparison 1.77,,dXYZ,,,,,0.05,,
 Surface comparison 1.78,,dXYZ,,,,,0.28,,
 Surface comparison 1.79,,dXYZ,,,,,0.45,,
 Surface comparison 1.80,,dXYZ,,,,,-0.60,,
 Surface comparison 1.81,,dXYZ,,,,,-0.58,,
 Surface comparison 1.82,,dXYZ,,,,,-0.09,,
 Surface comparison 1.83,,dXYZ,,,,,0.17,,
 Surface comparison 1.84,,dXYZ,,,,,0.31,,
 Surface comparison 1.85,,dXYZ,,,,,0.39,,
 Surface comparison 1.86,,dXYZ,,,,,0.25,,
 Surface comparison 1.87,,dXYZ,,,,,-0.02,,
 Surface comparison 1.88,,dXYZ,,,,,-0.50,,
 Surface comparison 1.89,,dXYZ,,,,,-0.38,,
 Surface comparison 1.90,,dXYZ,,,,,-0.05,,
 Surface comparison 1.91,,dXYZ,,,,,0.20,,
 Surface comparison 1.92,,dXYZ,,,,,0.34,,
 Surface comparison 1.93,,dXYZ,,,,,0.39,,
 Surface comparison 1.94,,dXYZ,,,,,0.35,,
 Surface comparison 1.95,,dXYZ,,,,,0.20,,
 Surface comparison 1.96,,dXYZ,,,,,-0.01,,
 Surface comparison 1.97,,dXYZ,,,,,-0.34,,
 Surface comparison 1.98,,dXYZ,,,,,-0.51,,
 Surface comparison 1.99,,dXYZ,,,,,-0.57,,
 Surface comparison 1.100,,dXYZ,,,,,-0.39,,
 Surface comparison 1.101,,dXYZ,,,,,-0.09,,
 Surface comparison 1.102,,dXYZ,,,,,0.30,,
 Surface comparison 1.103,,dXYZ,,,,,0.30,,
 Surface comparison 1.104,,dXYZ,,,,,0.25,,
 Surface comparison 1.105,,dXYZ,,,,,0.21,,
 Surface comparison 1.106,,dXYZ,,,,,0.06,,
 Surface comparison 1.107,,dXYZ,,,,,-0.07,,
 Surface comparison 1.108,,dXYZ,,,,,-0.36,,
 Surface comparison 1.109,,dXYZ,,,,,-0.52,,
 Surface comparison 1.110,,dXYZ,,,,,-0.36,,
 Surface comparison 1.111,,dXYZ,,,,,-0.58,,
 Surface comparison 1.112,,dXYZ,,,,,0.02,,
 Surface comparison 1.113,,dXYZ,,,,,-0.04,,
 Surface comparison 1.114,,dXYZ,,,,,-0.07,,
 Surface comparison 1.115,,dXYZ,,,,,-0.16,,
 Surface comparison 1.116,,dXYZ,,,,,-0.28,,
 Surface comparison 1.117,,dXYZ,,,,,-0.52,,
 Surface comparison 1.118,,dXYZ,,,,,-0.53,,
 Surface comparison 1.119,,dXYZ,,,,,-0.55,,
 Surface comparison 1.120,,dXYZ,,,,,-0.71,,
 Surface comparison 1.121,,dXYZ,,,,,-0.58,,
 Surface comparison 1.122,,dXYZ,,,,,-0.56,,
 Surface comparison 1.123,,dXYZ,,,,,-0.61,,
 Surface comparison 1.124,,dXYZ,,,,,-0.70,,
 Surface comparison 1.125,,dXYZ,,,,,-0.64,,
