Element,Datum,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1.1,,dXYZ,,,,,-0.74,,
 Surface comparison 1.2,,dXYZ,,,,,-0.61,,
 Surface comparison 1.3,,dXYZ,,,,,-0.55,,
 Surface comparison 1.4,,dXYZ,,,,,-0.55,,
 Surface comparison 1.5,,dXYZ,,,,,-0.52,,
 Surface comparison 1.6,,dXYZ,,,,,-0.58,,
 Surface comparison 1.7,,dXYZ,,,,,-0.36,,
 Surface comparison 1.8,,dXYZ,,,,,-0.17,,
 Surface comparison 1.9,,dXYZ,,,,,-0.08,,
 Surface comparison 1.10,,dXYZ,,,,,-0.03,,
 Surface comparison 1.11,,dXYZ,,,,,0.01,,
 Surface comparison 1.12,,dXYZ,,,,,-0.53,,
 Surface comparison 1.13,,dXYZ,,,,,-0.44,,
 Surface comparison 1.14,,dXYZ,,,,,-0.13,,
 Surface comparison 1.15,,dXYZ,,,,,0.06,,
 Surface comparison 1.16,,dXYZ,,,,,0.17,,
 Surface comparison 1.17,,dXYZ,,,,,0.23,,
 Surface comparison 1.18,,dXYZ,,,,,0.28,,
 Surface comparison 1.19,,dXYZ,,,,,0.35,,
 Surface comparison 1.20,,dXYZ,,,,,-0.03,,
 Surface comparison 1.21,,dXYZ,,,,,-0.33,,
 Surface comparison 1.22,,dXYZ,,,,,-0.46,,
 Surface comparison 1.23,,dXYZ,,,,,-0.43,,
 Surface comparison 1.24,,dXYZ,,,,,-0.07,,
 Surface comparison 1.25,,dXYZ,,,,,0.16,,
 Surface comparison 1.26,,dXYZ,,,,,0.29,,
 Surface comparison 1.27,,dXYZ,,,,,0.38,,
 Surface comparison 1.28,,dXYZ,,,,,0.31,,
 Surface comparison 1.29,,dXYZ,,,,,0.40,,
 Surface comparison 1.30,,dXYZ,,,,,0.24,,
 Surface comparison 1.31,,dXYZ,,,,,-0.00,,
 Surface comparison 1.32,,dXYZ,,,,,-0.32,,
 Surface comparison 1.33,,dXYZ,,,,,-0.27,,
 Surface comparison 1.34,,dXYZ,,,,,-0.62,,
 Surface comparison 1.35,,dXYZ,,,,,-0.13,,
 Surface comparison 1.36,,dXYZ,,,,,0.17,,
 Surface comparison 1.37,,dXYZ,,,,,0.32,,
 Surface comparison 1.38,,dXYZ,,,,,0.39,,
 Surface comparison 1.39,,dXYZ,,,,,0.19,,
 Surface comparison 1.40,,dXYZ,,,,,-0.06,,
 Surface comparison 1.41,,dXYZ,,,,,-0.46,,
 Surface comparison 1.42,,dXYZ,,,,,0.35,,
 Surface comparison 1.43,,dXYZ,,,,,0.34,,
 Surface comparison 1.44,,dXYZ,,,,,0.12,,
 Surface comparison 1.45,,dXYZ,,,,,-0.24,,
 Surface comparison 1.46,,dXYZ,,,,,-0.44,,
 Surface comparison 1.47,,dXYZ,,,,,-0.52,,
 Surface comparison 1.48,,dXYZ,,,,,0.41,,
 Surface comparison 1.49,,dXYZ,,,,,0.24,,
 Surface comparison 1.50,,dXYZ,,,,,-0.09,,
 Surface comparison 1.51,,dXYZ,,,,,-0.59,,
 Surface comparison 1.52,,dXYZ,,,,,-0.61,,
 Surface comparison 1.53,,dXYZ,,,,,0.01,,
 Surface comparison 1.54,,dXYZ,,,,,0.28,,
 Surface comparison 1.55,,dXYZ,,,,,-0.00,,
 Surface comparison 1.56,,dXYZ,,,,,-0.45,,
 Surface comparison 1.57,,dXYZ,,,,,-0.58,,
 Surface comparison 1.58,,dXYZ,,,,,-0.08,,
 Surface comparison 1.59,,dXYZ,,,,,0.27,,
 Surface comparison 1.60,,dXYZ,,,,,0.39,,
 Surface comparison 1.61,,dXYZ,,,,,0.09,,
 Surface comparison 1.62,,dXYZ,,,,,-0.43,,
 Surface comparison 1.63,,dXYZ,,,,,-0.61,,
 Surface comparison 1.64,,dXYZ,,,,,-0.10,,
 Surface comparison 1.65,,dXYZ,,,,,0.24,,
 Surface comparison 1.66,,dXYZ,,,,,0.24,,
 Surface comparison 1.67,,dXYZ,,,,,0.41,,
 Surface comparison 1.68,,dXYZ,,,,,0.06,,
 Surface comparison 1.69,,dXYZ,,,,,-0.44,,
