Element,Datum,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1.1,,dXYZ,,,,,-1.39,,
 Surface comparison 1.2,,dXYZ,,,,,-1.09,,
 Surface comparison 1.3,,dXYZ,,,,,-1.37,,
 Surface comparison 1.4,,dXYZ,,,,,-1.63,,
 Surface comparison 1.5,,dXYZ,,,,,-0.98,,
 Surface comparison 1.6,,dXYZ,,,,,-1.00,,
 Surface comparison 1.7,,dXYZ,,,,,-0.49,,
 Surface comparison 1.8,,dXYZ,,,,,-0.52,,
 Surface comparison 1.9,,dXYZ,,,,,-0.18,,
 Surface comparison 1.10,,dXYZ,,,,,-0.22,,
 Surface comparison 1.11,,dXYZ,,,,,-0.00,,
 Surface comparison 1.12,,dXYZ,,,,,-0.07,,
 Surface comparison 1.13,,dXYZ,,,,,0.12,,
 Surface comparison 1.14,,dXYZ,,,,,-0.01,,
 Surface comparison 1.15,,dXYZ,,,,,-0.02,,
 Surface comparison 1.16,,dXYZ,,,,,0.15,,
 Surface comparison 1.17,,dXYZ,,,,,0.13,,
 Surface comparison 1.18,,dXYZ,,,,,0.00,,
 Surface comparison 1.19,,dXYZ,,,,,0.19,,
 Surface comparison 1.20,,dXYZ,,,,,0.12,,
 Surface comparison 1.21,,dXYZ,,,,,0.02,,
 Surface comparison 1.22,,dXYZ,,,,,0.07,,
 Surface comparison 1.23,,dXYZ,,,,,0.08,,
 Surface comparison 1.24,,dXYZ,,,,,-0.01,,
 Surface comparison 1.25,,dXYZ,,,,,0.06,,
 Surface comparison 1.26,,dXYZ,,,,,0.01,,
 Surface comparison 1.27,,dXYZ,,,,,0.35,,
 Surface comparison 1.28,,dXYZ,,,,,0.16,,
 Surface comparison 1.29,,dXYZ,,,,,0.34,,
 Surface comparison 1.30,,dXYZ,,,,,0.15,,
 Surface comparison 1.31,,dXYZ,,,,,0.20,,
 Surface comparison 1.32,,dXYZ,,,,,0.13,,
 Surface comparison 1.33,,dXYZ,,,,,0.13,,
 Surface comparison 1.34,,dXYZ,,,,,0.15,,
 Surface comparison 1.35,,dXYZ,,,,,0.12,,
 Surface comparison 1.36,,dXYZ,,,,,0.10,,
 Surface comparison 1.37,,dXYZ,,,,,-0.00,,
 Surface comparison 1.38,,dXYZ,,,,,0.08,,
 Surface comparison 1.39,,dXYZ,,,,,0.29,,
 Surface comparison 1.40,,dXYZ,,,,,0.13,,
 Surface comparison 1.41,,dXYZ,,,,,0.19,,
 Surface comparison 1.42,,dXYZ,,,,,0.17,,
 Surface comparison 1.43,,dXYZ,,,,,0.21,,
 Surface comparison 1.44,,dXYZ,,,,,0.15,,
 Surface comparison 1.45,,dXYZ,,,,,0.65,,
 Surface comparison 1.46,,dXYZ,,,,,0.06,,
 Surface comparison 1.47,,dXYZ,,,,,0.11,,
 Surface comparison 1.48,,dXYZ,,,,,-0.00,,
 Surface comparison 1.49,,dXYZ,,,,,0.05,,
 Surface comparison 1.50,,dXYZ,,,,,-0.15,,
 Surface comparison 1.51,,dXYZ,,,,,-0.11,,
 Surface comparison 1.52,,dXYZ,,,,,-0.51,,
 Surface comparison 1.53,,dXYZ,,,,,-0.49,,
 Surface comparison 1.54,,dXYZ,,,,,-1.12,,
 Surface comparison 1.55,,dXYZ,,,,,-1.05,,
 Surface comparison 1.56,,dXYZ,,,,,-1.37,,
 Surface comparison 1.57,,dXYZ,,,,,-1.63,,
 Surface comparison 1.58,,dXYZ,,,,,-1.13,,
 Surface comparison 1.59,,dXYZ,,,,,-1.31,,
