Element,Datum,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1.107,,dXYZ,,,,,-1.71,,
 Surface comparison 1.108,,dXYZ,,,,,-1.55,,
 Surface comparison 1.109,,dXYZ,,,,,-1.03,,
 Surface comparison 1.110,,dXYZ,,,,,-0.60,,
 Surface comparison 1.111,,dXYZ,,,,,-0.20,,
 Surface comparison 1.112,,dXYZ,,,,,0.06,,
 Surface comparison 1.113,,dXYZ,,,,,0.20,,
 Surface comparison 1.114,,dXYZ,,,,,0.26,,
 Surface comparison 1.115,,dXYZ,,,,,0.26,,
 Surface comparison 1.116,,dXYZ,,,,,-0.14,,
 Surface comparison 1.117,,dXYZ,,,,,-1.74,,
 Surface comparison 1.118,,dXYZ,,,,,-1.72,,
 Surface comparison 1.119,,dXYZ,,,,,-1.20,,
 Surface comparison 1.120,,dXYZ,,,,,-0.76,,
 Surface comparison 1.121,,dXYZ,,,,,-0.35,,
 Surface comparison 1.122,,dXYZ,,,,,-0.07,,
 Surface comparison 1.123,,dXYZ,,,,,0.11,,
 Surface comparison 1.124,,dXYZ,,,,,0.19,,
 Surface comparison 1.125,,dXYZ,,,,,0.23,,
 Surface comparison 1.126,,dXYZ,,,,,-0.20,,
 Surface comparison 1.127,,dXYZ,,,,,-1.76,,
 Surface comparison 1.128,,dXYZ,,,,,-1.37,,
 Surface comparison 1.129,,dXYZ,,,,,-1.39,,
 Surface comparison 1.130,,dXYZ,,,,,-0.95,,
 Surface comparison 1.131,,dXYZ,,,,,-0.57,,
 Surface comparison 1.132,,dXYZ,,,,,-0.26,,
 Surface comparison 1.133,,dXYZ,,,,,-0.04,,
 Surface comparison 1.134,,dXYZ,,,,,0.10,,
 Surface comparison 1.135,,dXYZ,,,,,0.18,,
 Surface comparison 1.136,,dXYZ,,,,,0.24,,
